date,platform,campaign,ad_set,ad_name,spend,impressions,clicks,leads,qualified_leads,revenue,landing_page_url,creative_text
2026-06-10,Meta,Solar Quotes - Broad,Homeowners 35+,Cut Utility Bills Fast,842.12,48620,1218,64,31,0,solar-quote-fast,Slash your power bill. Get a free solar savings quote in 60 seconds.
2026-06-10,Meta,Solar Quotes - Broad,Homeowners 35+,Government Incentive Hook,701.44,42310,876,39,3,0,solar-quote-fast,See if your ZIP code qualifies for new solar incentives before they expire.
2026-06-10,Google,Emergency Plumbing Search,Exact Match,Same-Day Plumber,1188.59,13290,1034,92,58,0,same-day-plumber,Book a licensed plumber today. Fast response and upfront pricing.
2026-06-10,TikTok,Debt Relief Quiz,Lookalike 2%,Debt Stress Story,533.20,81200,1624,118,23,0,debt-relief-quiz,This 45-second quiz helped thousands compare debt relief options.
2026-06-10,Taboola,Medicare Advantage Native,Seniors News,2026 Plan Change,982.01,155900,2494,132,17,0,medicare-guide,Many seniors are surprised by these Medicare Advantage changes.
2026-06-11,Meta,Solar Quotes - Broad,Homeowners 35+,Cut Utility Bills Fast,904.77,51200,1234,59,29,0,solar-quote-fast,Slash your power bill. Get a free solar savings quote in 60 seconds.
2026-06-11,Meta,Solar Quotes - Broad,Homeowners 35+,Government Incentive Hook,744.01,45100,832,33,2,0,solar-quote-fast,See if your ZIP code qualifies for new solar incentives before they expire.
2026-06-11,Google,Emergency Plumbing Search,Exact Match,Same-Day Plumber,1246.71,14110,1081,96,61,0,same-day-plumber,Book a licensed plumber today. Fast response and upfront pricing.
2026-06-11,TikTok,Debt Relief Quiz,Lookalike 2%,Debt Stress Story,621.39,90340,1601,109,18,0,debt-relief-quiz,This 45-second quiz helped thousands compare debt relief options.
2026-06-11,Taboola,Medicare Advantage Native,Seniors News,2026 Plan Change,1054.82,164800,2289,111,12,0,medicare-guide,Many seniors are surprised by these Medicare Advantage changes.
2026-06-12,Meta,Auto Insurance - Rate Drop,Drivers 30+,Compare Rates,392.42,21120,615,48,34,0,auto-rate-compare,Compare auto insurance rates in your area. Drivers are finding lower monthly payments.
2026-06-12,Google,Emergency Plumbing Search,Phrase Match,Local Plumbing Help,915.03,10900,533,38,27,0,generic-home-services,Need a local plumber? Request a fast quote from trusted providers.
2026-06-12,TikTok,Debt Relief Quiz,Broad,Minimum Payment Trap,711.40,100240,1760,122,14,0,debt-relief-quiz,"If minimum payments barely move your balance, try this free debt relief check."
2026-06-12,Taboola,Medicare Advantage Native,Seniors News,2026 Plan Change,1104.26,168300,2041,93,7,0,medicare-guide,Many seniors are surprised by these Medicare Advantage changes.
2026-06-12,Meta,Auto Insurance - Rate Drop,Drivers 30+,Compare Rates,433.16,22580,641,52,38,0,auto-rate-compare,Compare auto insurance rates in your area. Drivers are finding lower monthly payments.
